PERIODO;MUERTOS;DIC_25;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10;H11;H12
1;2;0;1;0;0;0;0;0;1;0;0;0;0;0
1;2;0;0;0;0;0;1;0;0;0;0;0;1;0
1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
1;2;0;0;0;0;1;0;1;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
1;2;0;0;0;1;0;0;0;0;0;0;0;0;1
1;2;0;0;0;0;0;0;0;1;1;0;0;0;0
1;2;0;0;0;0;0;0;0;0;0;1;0;1;0
1;2;0;0;0;0;0;0;1;0;0;0;0;1;0
1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
1;3;0;0;0;0;0;0;0;0;0;1;0;0;1
1;2;0;1;0;0;0;0;0;1;0;0;0;0;0
1;3;0;0;0;0;0;0;0;0;1;1;0;0;1
1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
1;2;0;0;0;0;1;0;0;0;0;0;0;0;1
1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
1;2;0;1;0;0;0;0;0;0;1;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
1;2;0;1;0;0;0;0;0;0;1;0;0;0;0
1;2;0;1;0;0;0;0;0;1;0;0;0;0;0
1;2;0;0;0;0;0;0;1;0;0;0;1;0;0
1;2;0;0;0;0;1;0;0;0;1;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
1;2;0;1;0;0;0;0;0;0;0;0;1;0;0
1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
1;3;0;0;1;0;0;0;0;1;0;0;1;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
1;2;0;0;1;0;0;0;0;0;0;1;0;0;0
1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
1;2;0;0;1;0;0;0;1;0;0;0;0;0;0
1;2;0;0;0;0;0;0;1;0;1;0;0;0;0
1;2;0;0;0;0;0;0;0;1;0;1;0;0;0
1;2;0;0;0;0;0;0;1;0;0;1;0;0;0
1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
1;2;0;1;0;0;0;0;0;0;0;0;0;0;0
1;3;0;1;0;0;1;0;0;0;0;0;0;0;1
1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
1;4;0;0;0;1;0;1;0;0;1;0;0;0;0
1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
1;4;0;0;0;0;0;0;1;0;0;0;1;0;1
1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
1;2;0;0;0;0;0;1;0;0;0;0;0;0;1
1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
1;3;0;0;1;0;0;0;1;0;0;0;1;0;0
1;2;0;0;0;0;0;0;0;0;0;1;0;0;0
1;2;0;0;0;0;0;0;1;0;0;0;0;0;0
1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
1;2;0;0;0;1;1;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
1;2;0;0;0;0;1;1;0;0;0;0;0;0;0
1;2;0;0;0;1;1;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
1;2;0;0;1;0;0;0;0;0;0;0;0;0;1
1;2;0;0;0;0;0;0;0;0;0;1;1;0;0
1;2;0;0;0;0;0;0;1;0;0;0;1;0;0
1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
1;3;0;0;0;0;0;0;0;0;0;1;1;1;0
1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
1;2;0;0;0;0;0;0;1;0;0;0;1;0;0
1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
1;2;0;0;0;0;0;0;1;1;0;0;0;0;0
1;2;0;0;0;0;0;0;1;0;0;0;0;0;0
1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
1;3;0;0;1;0;0;0;0;1;1;0;0;0;0
1;2;0;0;0;0;0;0;0;1;0;0;0;0;1
1;2;0;0;0;0;0;1;0;1;0;0;0;0;0
1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
1;2;0;0;0;0;0;1;0;0;0;0;1;0;0
1;2;0;0;1;1;0;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
1;2;0;0;0;0;0;0;0;0;1;1;0;0;0
1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
1;2;0;0;0;0;0;0;1;0;0;0;0;0;1
1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
1;2;0;1;0;1;0;0;0;0;0;0;0;0;0
1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
1;2;0;0;0;0;0;0;1;0;0;0;1;0;0
1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
1;2;0;0;0;0;0;1;0;0;0;1;0;0;0
1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
1;2;0;1;0;0;0;0;0;0;0;0;0;0;1
1;2;0;0;0;1;0;1;0;0;0;0;0;0;0
1;2;0;0;0;0;0;0;0;0;1;0;0;1;0
1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
1;3;0;0;0;1;0;0;0;0;0;0;1;1;0
1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
1;2;0;0;0;0;0;0;0;0;0;0;0;1;0
1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
1;2;0;1;0;0;1;0;0;0;0;0;0;0;0
1;2;0;0;0;0;0;0;1;1;0;0;0;0;0
1;4;0;0;0;0;1;1;1;0;0;0;1;0;0
1;2;0;0;0;0;0;0;1;0;0;0;0;1;0
1;3;0;0;0;1;0;0;0;0;1;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
1;2;0;0;0;0;0;0;1;0;0;0;0;1;0
1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
1;2;0;0;0;0;1;0;1;0;0;0;0;0;0
1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
1;2;0;0;1;0;0;1;0;0;0;0;0;0;0
1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
1;2;0;0;1;0;0;0;0;0;1;0;0;0;0
1;2;0;0;0;0;0;1;0;0;1;0;0;0;0
1;2;0;0;1;0;0;0;0;0;1;0;0;0;0
1;2;0;0;0;0;0;0;0;0;1;0;1;0;0
1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
1;2;0;0;0;0;0;0;0;1;1;0;0;0;0
1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
1;2;0;0;0;0;0;0;0;0;0;0;0;1;1
1;3;0;0;0;1;0;0;0;0;0;1;0;1;0
1;2;0;0;0;0;0;0;0;0;0;0;1;1;0
1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
1;2;0;0;0;0;0;0;0;0;1;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
1;3;0;0;0;0;0;0;0;1;1;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
1;2;0;0;0;0;1;0;0;0;0;0;0;0;1
1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
1;2;0;0;0;0;0;1;0;0;1;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
1;2;0;1;0;0;0;1;0;0;0;0;0;0;0
1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
1;2;0;0;0;0;1;0;0;0;0;0;0;1;0
1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
1;2;0;0;0;0;0;0;0;0;0;0;0;1;1
1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
1;2;0;0;0;1;0;0;0;0;0;0;1;0;0
1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
1;3;0;0;0;0;1;0;0;0;0;1;1;0;0
1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
1;2;0;0;0;0;0;0;0;0;1;0;0;0;1
1;2;0;0;0;0;0;0;0;1;0;0;0;0;0
1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
1;3;1;0;0;0;0;0;0;0;1;1;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
1;2;0;0;0;0;0;0;0;0;0;1;0;0;1
1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
1;3;0;0;0;0;0;0;0;1;0;0;1;0;1
1;2;0;0;1;0;0;0;0;0;0;0;0;1;0
1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
1;2;0;0;0;0;0;1;0;0;0;0;1;0;0
1;2;0;0;0;0;0;0;1;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
1;2;0;0;0;1;0;0;0;0;0;1;0;0;0
1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
1;3;0;1;0;0;0;0;1;0;0;1;0;0;0
1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
1;2;0;1;1;0;0;0;0;0;0;0;0;0;0
1;2;0;0;0;0;0;0;0;1;0;0;1;0;0
1;2;0;0;0;0;0;0;1;0;0;0;0;1;0
1;2;0;0;0;0;0;1;0;0;0;0;0;1;0
1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
1;2;0;0;0;0;0;0;0;0;0;0;0;1;0
1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
1;2;0;0;0;0;0;0;0;0;1;1;0;0;0
1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
1;2;0;0;1;1;0;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
1;2;0;0;0;0;0;0;1;0;0;0;0;0;0
1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
1;2;0;0;0;1;0;0;0;0;0;0;1;0;0
1;2;0;0;0;0;0;0;0;0;0;1;1;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
1;2;0;0;1;0;0;0;0;0;1;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
1;2;0;0;1;0;0;0;0;0;0;0;0;0;1
1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
1;2;0;0;0;0;0;0;1;0;0;0;0;1;0
1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
1;2;0;0;1;0;1;0;0;0;0;0;0;0;0
1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
1;2;0;0;0;0;0;0;1;0;0;1;0;0;0
1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
1;2;0;0;1;0;0;1;0;0;0;0;0;0;0
1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
1;2;0;0;0;0;0;0;0;0;0;0;1;1;0
1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
1;3;0;0;1;1;0;0;0;0;0;0;0;0;1
1;2;0;0;0;0;1;0;0;0;0;0;0;1;0
1;3;0;0;1;0;0;0;0;0;0;1;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
1;2;0;0;0;0;0;0;0;0;0;0;1;1;0
1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
1;3;0;0;1;0;0;1;0;0;1;0;0;0;0
1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
1;3;0;0;0;0;0;0;0;0;0;1;0;1;0
1;3;0;0;0;0;0;0;1;0;0;1;1;0;0
1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
1;3;0;0;0;0;1;1;0;0;1;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
1;2;0;0;0;0;0;0;0;1;0;0;0;1;0
1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
1;2;0;0;0;1;0;1;0;0;0;0;0;0;0
